rat_index,x,y
0,2037.000000,3728.000000
1,359.500000,2838.000000
2,1616.901001,1310.696167
3,3276.000000,1403.500000
4,3429.129395,3416.278809
5,2205.791016,955.996582
6,3700.903809,473.199707
7,2972.000000,3206.500000
8,732.400391,2039.409912
9,2035.396362,2991.591309
10,506.500000,3833.000000
11,3107.795898,299.999207
12,2195.037109,1313.711060
13,3591.000000,3502.000000
14,2952.126465,3617.421875
15,3897.500000,2784.000000
16,1266.500000,226.000000
17,2742.665039,3074.482666
18,1517.095581,4045.201660
19,207.500000,2164.500000
20,1473.000000,3360.500000
21,2953.000000,638.500000
22,3133.903809,4027.912109
23,1808.000000,3204.000000
24,1903.000000,3088.500000
25,413.198914,2092.128418
26,1494.500000,904.000000
27,0.000000,1532.500000
28,2782.500000,740.500000
29,1978.393555,4026.591309
30,1081.000000,1185.500000
31,1271.805176,1269.902954
32,932.500000,2559.000000
33,3754.004639,318.165527
34,2599.090332,409.300262
35,1998.402588,1950.954346
36,535.500000,1172.500000
37,351.500000,1952.500000
38,2489.490234,3966.665039
39,2935.099365,1093.792725
40,2533.488770,556.898804
41,2379.000000,1783.250000
42,823.500000,3564.500000
43,968.406006,3808.797852
44,2435.010742,3621.798828
45,714.596924,2040.601685
46,522.000000,3430.500000
47,0.000000,1616.500000
48,3746.000000,403.000000
49,1517.000000,1978.500000
50,380.500000,3441.500000
51,2157.128418,3277.689941
52,999.000000,2878.000000
53,28.799992,970.401855
54,1052.997559,644.902222
55,1302.493530,2824.628906
56,552.697144,3447.092285
57,435.500000,3570.500000
58,1506.500000,2591.000000
59,638.000000,2819.500000
60,1444.500000,146.000000
61,3539.705566,3294.103027
62,3852.000000,1601.500000
63,934.898865,3976.497559
64,2601.500000,942.000000
65,2102.204346,3878.076660
66,3354.198242,2733.114746
67,563.665588,4077.832275
68,3712.000000,2703.000000
69,2342.833252,2816.666992
70,2053.329590,1950.594482
71,4059.590820,1517.296997
72,1616.595581,1958.749146
73,144.600708,538.500366
74,849.339661,3965.188232
75,2899.695801,581.801880
76,3981.910645,900.895386
77,2828.000000,925.500000
78,1260.000000,2001.500000
79,3503.500000,1031.500000
80,22.499994,1788.705688
81,3012.000244,3424.500244
82,159.400818,3491.776367
83,1129.000000,3490.500000
84,1484.332153,2346.837891
85,3066.893066,1252.299927
86,0.000000,3730.000000
87,2603.401123,2930.915283
88,2015.173096,4002.336914
89,3918.496826,3644.325928
90,26.000000,3238.500000
91,2079.802734,1469.902466
92,1166.596191,175.400330
93,2008.715088,2674.591797
94,3997.592529,3786.799072
95,1874.000000,2333.500000
96,1259.598389,1887.508911
97,2738.506592,3823.501221
98,3949.299316,1144.298218
99,2635.198242,696.899536
100,2414.500000,1012.500000
101,1666.755615,2250.419189
102,238.699310,3215.313965
103,3027.500000,529.500000
104,2645.500000,1923.000000
105,4080.000000,3623.692383
106,984.500000,3121.500000
107,2070.500000,403.500000
108,3348.500000,601.500000
109,2713.500000,826.000000
110,2738.597656,1990.605469
111,599.500488,3965.180908
112,3421.500000,1297.500000
113,2779.321533,1521.831665
114,564.300842,2296.374023
115,926.900513,3214.190430
116,1961.000000,477.000000
117,2560.272949,2969.985352
118,612.000000,2668.000000
119,2130.824463,2910.662842
120,418.500000,1288.000000
121,428.999664,2544.512207
122,258.000000,276.000000
123,1166.304810,2729.208984
124,2907.977783,4030.673096
125,1123.000000,501.000000
126,0.000000,3424.703613
127,3999.504395,3867.010986
128,582.000000,2612.500000
129,2586.195313,985.692261
130,2510.201416,1841.005615
131,1678.511719,4064.492432
132,2063.100098,3230.567383
133,519.899780,592.494263
134,1841.495239,3566.998047
135,2589.861572,2835.352051
136,2931.012939,3781.670898
137,615.499878,1702.101196
138,2796.500000,2101.500000
139,1493.500000,333.500000
140,371.200684,133.200012
141,650.000000,2278.000000
142,1432.000000,3573.500000
143,3621.500000,3172.000000
0,1956.000000,3709.000000
1,301.500000,2833.500000
2,1913.009033,1075.789795
3,3274.500000,1257.500000
4,3364.336426,3621.456543
5,2177.894043,982.997314
6,3836.789063,531.699951
7,2890.500000,3264.500000
8,532.594971,2124.001953
9,1954.394165,2956.495117
10,635.000000,3663.000000
11,3587.000000,3193.500000
12,2507.592285,1305.914551
13,3623.000000,3412.500000
14,3001.326660,3579.934814
15,4080.000000,2722.500000
16,1104.000000,374.000000
17,2733.660645,3139.514404
18,1496.092163,4055.703369
19,363.500000,2188.500000
20,1490.000000,3412.500000
21,682.500000,2377.500000
22,3074.494141,4011.709473
23,1785.500000,3218.000000
24,1919.500000,3092.500000
25,371.799194,1957.130737
26,1450.500000,795.500000
27,7.500000,1609.000000
28,444.100189,128.700043
29,1984.094482,3991.185547
30,1109.000000,1141.500000
31,1436.509644,1321.204346
32,844.500000,2443.500000
33,3695.010010,321.165375
34,2720.577148,285.101105
35,2091.992432,1871.762939
36,438.500000,1322.000000
37,523.500000,1850.500000
38,2439.799316,3961.495850
39,2841.199951,1089.895386
40,2509.191406,665.801758
41,2418.500000,1740.750000
42,842.000000,3487.500000
43,967.505981,3751.204102
44,2350.419922,3687.491699
45,644.395020,2175.588135
